cve,cwe,score,earliest_version,latest_version,specific_os
CVE-2019-6111,20,5.8,7.9,7.9,
CVE-2019-6110,284,4.0,7.9,7.9,
CVE-2019-6109,284,4.0,7.9,7.9,
CVE-2018-20685,706,2.6,7.9,7.9,
CVE-2018-15919,200,5.0,5.9,7.7p1,
CVE-2018-15473,200,5.0,7.7,7.7,
CVE-2017-15906,269,5.0,1.2,7.5p1,
CVE-2016-10708,476,5.0,1.2,7.3p1,
CVE-2016-10012,119,7.2,7.3,7.3,
CVE-2016-10011,320,2.1,7.3,7.3,
CVE-2016-10010,264,6.9,7.3,7.3,
CVE-2016-10009,426,7.5,7.3,7.3,
CVE-2016-8858,399,7.8,6.8,7.3,
CVE-2016-6515,20,7.8,7.2p2,7.2p2,
CVE-2016-6210,200,4.3,7.2p2,7.2p2,
CVE-2016-3115,,5.5,7.2p1,7.2p1,
CVE-2016-1908,254,7.5,7.1p2,7.1p2,
CVE-2016-1907,119,5.0,6.8,7.1p1,
CVE-2016-0778,119,4.6,5.4,7.1p1,
CVE-2016-0777,200,4.0,5,7.1p1,
CVE-2015-8325,264,7.2,7.2p2,7.2p2,
CVE-2015-6565,264,7.2,6.8,6.9,
CVE-2015-6564,264,6.9,6.9,6.9,
CVE-2015-6563,20,1.9,6.9,6.9,
CVE-2015-5600,264,8.5,6.9,6.9,
CVE-2015-5352,264,4.3,6.8,6.8,
CVE-2014-2653,20,5.8,6,6.6,
CVE-2014-2532,264,5.8,6,6.5,
CVE-2014-1692,119,7.5,1.2,6.4,
CVE-2013-4548,264,6.0,6.2,6.3,
CVE-2012-0814,255,3.5,1.2,5.6,
CVE-2011-5000,189,3.5,1.2,5.8,
CVE-2011-4327,200,2.1,1.2,5.8p1,
CVE-2011-0539,264,5.0,5.6,5.7,
CVE-2010-5107,,5.0,1.2,6.1,
CVE-2010-4755,399,4.0,1.2,5.8,
CVE-2010-4478,287,7.5,1.2,5.6,
CVE-2009-2904,16,6.9,4.3,4.8,"RHEL, Fedora"
CVE-2008-5161,200,2.6,4.7p1,4.7p1,
CVE-2009-4109,264,5.0,4.3p2,4.3p2,
CVE-2008-3259,200,1.2,1.2,5,
CVE-2008-3234,264,6.5,4,4,
CVE-2008-1657,264,6.5,4.4,4.8,
CVE-2008-1483,264,6.9,4.3p2,4.3p2,
CVE-2007-4752,20,7.5,4,4.6,
CVE-2007-4654,399,5.0,3.0.2p1,3.0.2p1,
CVE-2007-3102,,4.3,4.3p2,4.3p2,Fedora
CVE-2007-2243,287,5.0,1.2,4.6,
CVE-2006-5794,,7.5,4.4,4.4,
CVE-2006-5052,,5.0,1.2,4.3p1,
CVE-2006-5051,362,9.3,1.2,4.3p1,
CVE-2006-4925,,5.0,4.5,4.5,
CVE-2006-4924,399,7.8,1.2,4.3p1,
CVE-2006-0883,399,5.0,3.8.1p1,3.8.1p1,
CVE-2006-0225,,4.6,3,4.2p1,
CVE-2005-2798,,5.0,3,4.1p1,
CVE-2005-2797,,5.0,4,4,
CVE-2005-2666,255,1.2,3,3.9.1p1,
CVE-2004-2760,16,6.8,3.5,3.5p1,
CVE-2004-2069,,5.0,3.6.1p2,3.7.1p2,
CVE-2004-1653,,6.4,3.9,3.9,
CVE-2004-0175,22,4.3,3,3.4p1,
CVE-2003-1562,362,7.6,1.2,3.6.1p2,
CVE-2003-0787,,7.5,3.7.1,3.7.1p1,
CVE-2003-0786,,10.0,3.7.1,3.7.1p1,
CVE-2003-0695,,7.5,3.7.1,3.7.1,
CVE-2003-0693,,10.0,3.7,3.7,
CVE-2003-0682,,7.5,3.7.1,3.7.1,
CVE-2003-0386,,7.5,3.6.1,3.6.1,
CVE-2003-0190,,5.0,3.4p1,3.6.1p1,
CVE-2002-0765,,7.5,3.1,3.2.2,
CVE-2002-0640,,10.0,1.2.2,3.3p1,
CVE-2002-0639,,10.0,1.2.2,3.3p1,
CVE-2002-0575,,7.5,2.1,3.2,
CVE-2002-0083,189,10.0,2.1,3.0.1,
CVE-2001-1585,287,6.8,2.3.1,2.3.1,
CVE-2001-1507,,7.5,3,3.0p1,
CVE-2001-1459,,7.5,2.1,2.9,
CVE-2001-1382,,5.0,2.9.9p2,2.9.9p2,
CVE-2001-1380,,7.5,2.9.9,2.9.9,
CVE-2001-1029,,2.1,4.5,4.5,
CVE-2001-0872,,7.2,3.0.1,3.0.1,
CVE-2001-0816,,7.5,2.9.9,2.9.9,
CVE-2001-0572,,7.5,4.5,4.5,
CVE-2001-0529,,7.2,2.9,2.9,
CVE-2001-0361,310,4.0,1.2.3,2.1.1,
CVE-2001-0144,,10.0,1.2.2,2.2,
CVE-2000-1169,,7.5,2.2,2.2,
CVE-2000-0999,,10.0,4.5,4.5,
CVE-2000-0992,,5.0,1.2,1.2.3,
CVE-2000-0525,,10.0,1.2,2.1,
CVE-2000-0217,,5.1,1.2,1.2,
CVE-2000-0143,,4.6,1.2,1.2.1,
CVE-1999-1010,,2.1,1.2.27,1.2.27,
